1,1,8,2
2,1,7,2
3,1,2,2
4,1,3,3
5,1,4,2
6,1,6,1
7,1,1,2
8,1,5,1
9,2,8,2
10,2,7,3
11,2,2,2
12,2,3,3
13,2,4,3
14,2,6,1
15,2,1,3
16,2,5,1
17,3,8,2
18,3,7,3
19,3,2,2
20,3,3,2
21,3,4,3
22,3,6,4
23,3,1,3
24,3,5,4
25,4,8,2
26,4,7,2
27,4,2,2
28,4,3,2
29,4,4,3
30,4,6,4
31,4,1,3
32,4,5,4
33,5,8,2
34,5,7,3
35,5,2,3
36,5,3,3
37,5,4,3
38,5,6,4
39,5,1,3
40,5,5,1
41,7,8,3
42,7,7,3
43,7,2,3
44,7,3,3
45,7,4,3
46,7,6,1
47,7,1,3
48,7,5,1
49,8,8,2
50,8,7,2
51,8,2,2
52,8,3,2
53,8,4,3
54,8,6,4
55,8,1,2
56,8,5,4
57,6,8,2
58,6,7,2
59,6,2,2
60,6,3,2
61,6,4,3
62,6,6,4
63,6,1,3
64,6,5,4
65,9,8,2
66,9,7,3
67,9,2,3
68,9,3,2
69,9,4,3
70,9,6,4
71,9,1,3
72,9,5,1
73,10,8,2
74,10,7,3
75,10,2,2
76,10,3,2
77,10,4,3
78,10,6,4
79,10,1,3
80,10,5,4
81,11,8,2
82,11,7,2
83,11,2,3
84,11,3,2
85,11,4,2
86,11,6,1
87,11,1,3
88,11,5,1
89,12,8,2
90,12,7,2
91,12,2,2
92,12,3,2
93,12,4,2
94,12,6,4
95,12,1,3
96,12,5,1
97,13,8,2
98,13,7,2
99,13,2,2
100,13,3,2
101,13,4,3
102,13,6,4
103,13,1,3
104,13,5,4
105,14,8,2
106,14,7,2
107,14,2,2
108,14,3,2
109,14,4,3
110,14,6,4
111,14,1,2
112,14,5,4
113,15,8,2
114,15,7,3
115,15,2,2
116,15,3,3
117,15,4,2
118,15,6,4
119,15,1,2
120,15,5,1
121,16,8,2
122,16,7,2
123,16,2,2
124,16,3,3
125,16,4,2
126,16,6,1
127,16,1,2
128,16,5,1
129,17,8,2
130,17,7,2
131,17,2,2
132,17,3,2
133,17,4,3
134,17,6,4
135,17,1,2
136,17,5,4
137,18,8,2
138,18,7,3
139,18,2,2
140,18,3,3
141,18,4,3
142,18,6,4
143,18,1,2
144,18,5,1
145,19,8,2
146,19,7,3
147,19,2,2
148,19,3,2
149,19,4,2
150,19,6,1
151,19,1,3
152,19,5,1
153,20,8,2
154,20,7,3
155,20,2,2
156,20,3,2
157,20,4,2
158,20,6,1
159,20,1,3
160,20,5,1
161,21,8,2
162,21,7,2
163,21,2,2
164,21,3,3
165,21,4,3
166,21,6,4
167,21,1,2
168,21,5,1
169,22,8,2
170,22,7,2
171,22,2,2
172,22,3,3
173,22,4,2
174,22,6,1
175,22,1,2
176,22,5,1
177,23,8,2
178,23,7,3
179,23,2,2
180,23,3,2
181,23,4,2
182,23,6,4
183,23,1,2
184,23,5,4
185,24,8,2
186,24,7,2
187,24,2,2
188,24,3,2
189,24,4,2
190,24,6,1
191,24,1,2
192,24,5,4
